ExperimentNumber,WorkloadNumber,RequestId,J,UserClass,Policy,CloudDeploymentModel,     Id,Name,ExecutionTime,ExecutionCost,TasksIdAsString
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     41,openstack-micro,       108.00,         0.00,           [17]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     40,openstack-micro,       108.00,         0.00,           [16]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     43,openstack-micro,       108.00,         0.00,           [19]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     42,openstack-micro,       108.00,         0.00,           [18]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     45,openstack-micro,       108.00,         0.00,           [21]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     44,openstack-micro,       108.00,         0.00,           [20]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     46,openstack-micro,       108.00,         0.00,           [22]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     38,openstack-micro,       118.00,         0.00,        [12-14]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     39,openstack-micro,       108.00,         0.00,           [15]
               1,             1,        5,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,      5,large-aws-us-east-1,         6.25,         1.15,           [13]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     86,openstack-micro,       118.00,         0.00,        [34-36]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     88,openstack-micro,       108.00,         0.00,           [38]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     89,openstack-micro,       108.00,         0.00,           [39]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     87,openstack-micro,       108.00,         0.00,           [37]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     92,openstack-micro,       108.00,         0.00,           [42]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     93,openstack-micro,       108.00,         0.00,           [43]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     90,openstack-micro,       108.00,         0.00,           [40]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     91,openstack-micro,       108.00,         0.00,           [41]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     94,openstack-micro,       108.00,         0.00,           [44]
               2,             1,       10,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,     53,large-aws-us-east-1,         6.25,         1.15,           [35]
