ExperimentNumber,WorkloadNumber,     Id,J,UserClass,Policy,CloudDeploymentModel,  Deadline,    Budget,ExecutionTime,      Cost,IsDeadlineViolated,IsBudgetViolated,NumberOfVMs,LogMessage
               1,             1,     24,J={9-2},     GOLD,LFFCost,              Hybrid,    120.00,      2.50,        23.87,     10.35,No (96.13000000000466 seconds) earlier,YES! ($7.850000000000001) over budget,          9,          
               1,             1,     25,J={9-2},     GOLD,LFFCost,              Hybrid,    130.00,      2.50,        23.87,     10.35,No (106.13000000000466 seconds) earlier,YES! ($7.850000000000001) over budget,          9,          
               1,             1,     26,J={9-2},     GOLD,LFFCost,              Hybrid,    140.00,      2.50,        23.87,     10.35,No (116.13000000000466 seconds) earlier,YES! ($7.850000000000001) over budget,          9,          
               1,             1,     27,J={9-2},     GOLD,LFFCost,              Hybrid,    150.00,      2.50,        23.87,     10.35,No (126.13000000000466 seconds) earlier,YES! ($7.850000000000001) over budget,          9,          
               1,             1,     28,J={9-2},     GOLD,LFFCost,              Hybrid,    160.00,      2.50,       156.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     29,J={9-2},     GOLD,LFFCost,              Hybrid,    170.00,      2.50,       156.40,      0.00,No (13.599999999976717 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     30,J={9-2},     GOLD,LFFCost,              Hybrid,    180.00,      2.50,       156.40,      0.00,No (23.599999999976717 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     31,J={9-2},     GOLD,LFFCost,              Hybrid,    190.00,      2.50,       156.40,      0.00,No (33.59999999997672 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     32,J={9-2},     GOLD,LFFCost,              Hybrid,    200.00,      2.50,       156.40,      0.00,No (43.59999999997672 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     33,J={9-2},     GOLD,LFFCost,              Hybrid,    210.00,      2.50,       156.40,      0.00,No (53.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     34,J={9-2},     GOLD,LFFCost,              Hybrid,    220.00,      2.50,       156.40,      0.00,No (63.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     35,J={9-2},     GOLD,LFFCost,              Hybrid,    230.00,      2.50,       156.40,      0.00,No (73.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     36,J={9-2},     GOLD,LFFCost,              Hybrid,    240.00,      2.50,       156.40,      0.00,No (83.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     37,J={9-2},     GOLD,LFFCost,              Hybrid,    250.00,      2.50,       156.40,      0.00,No (93.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     38,J={9-2},     GOLD,LFFCost,              Hybrid,    260.00,      2.50,       156.40,      0.00,No (103.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     39,J={9-2},     GOLD,LFFCost,              Hybrid,    270.00,      2.50,       156.40,      0.00,No (113.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     40,J={9-2},     GOLD,LFFCost,              Hybrid,    280.00,      2.50,       156.40,      0.00,No (123.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     41,J={9-2},     GOLD,LFFCost,              Hybrid,    290.00,      2.50,       156.40,      0.00,No (133.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     42,J={9-2},     GOLD,LFFCost,              Hybrid,    300.00,      2.50,       156.40,      0.00,No (143.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             1,     43,J={9-2},     GOLD,LFFCost,              Hybrid,    310.00,      2.50,       156.40,      0.00,No (153.60000000009313 seconds) earlier,No ($2.5) savings,          9,          
               1,             2,     47,J={9-2},     GOLD,BruteForceCost,              Hybrid,    120.00,      2.50,       216.30,      1.15,YES! (96.29999999998836 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     48,J={9-2},     GOLD,BruteForceCost,              Hybrid,    130.00,      2.50,       216.30,      1.15,YES! (86.29999999998836 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     49,J={9-2},     GOLD,BruteForceCost,              Hybrid,    140.00,      2.50,       216.30,      1.15,YES! (76.29999999998836 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     50,J={9-2},     GOLD,BruteForceCost,              Hybrid,    150.00,      2.50,       216.30,      1.15,YES! (66.29999999998836 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     51,J={9-2},     GOLD,BruteForceCost,              Hybrid,    160.00,      2.50,       216.30,      1.15,YES! (56.300000000046566 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     52,J={9-2},     GOLD,BruteForceCost,              Hybrid,    170.00,      2.50,       216.30,      1.15,YES! (46.300000000046566 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     53,J={9-2},     GOLD,BruteForceCost,              Hybrid,    180.00,      2.50,       216.30,      1.15,YES! (36.300000000046566 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     54,J={9-2},     GOLD,BruteForceCost,              Hybrid,    190.00,      2.50,       216.30,      1.15,YES! (26.300000000046566 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     55,J={9-2},     GOLD,BruteForceCost,              Hybrid,    200.00,      2.50,       216.30,      1.15,YES! (16.300000000046566 seconds) over deadline,No ($1.35) savings,          2,          
               1,             2,     56,J={9-2},     GOLD,BruteForceCost,              Hybrid,    210.00,      2.50,       216.30,      1.15,YES! (6.300000000046566 seconds) over deadline,No ($1.35) savings,          2,          
